word,phonetic,tier,frequency,definition_en,definition_zh,definition_zh_tw,definition_ja
about,ә'baut,1,46,s. on the move; r. all around or on all sides; r. in the area or vicinity; r. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于; adv. 大约, 四处, 在附近, 周围","prep. 在...周圍, 大約, 有關, 關於; adv. 大約, 四處, 在附近, 周圍","…について,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて"
above,ә'bʌv,1,893,n. an earlier section of a written text; s. appearing earlier in the same text; r. at an earlier place; r. in or to a place that is higher,"prep. 在上方, 超出; adv. 在上面; a. 上述的, 上面的","prep. 在上方, 超出; adv. 在上面; a. 上述的, 上面的","《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと"
abrade,ә'breid,5,28660,v. wear away,"vt. 擦伤, 磨损, 磨; [医] 擦除, 擦破; 磨损, 磨除","vt. 擦傷, 磨損, 磨; [醫] 擦除, 擦破; 磨損, 磨除",〈皮膚〉を擦傷する;〈毛・岩など〉をすり減らす
abrasion,ә'breiʒәn,4,18254,n. an abraded area where the skin is torn or worn off; n. erosion by friction,"n. 磨擦, 磨损, 磨损处; [化] 磨耗; 磨蚀","n. 磨擦, 磨損, 磨損處; [化] 磨耗; 磨蝕","〈C〉すり傷 / 〈U〉すりむくこと,摩滅"
abrasive,ә'breisiv,4,16344,n. a substance that abrades or wears down; s. causing abrasion,n. 研磨料; a. 有研磨作用的,n. 研磨料; a. 有研磨作用的,"すり減らす,すりむく / 研磨剤(金剛砂・軽石など)"
abreast,ә'brest,5,16406,"s. being up to particular standard or level especially in being up to date in knowledge; r. alongside each other, facing in the same direction","adv. 并肩地, 并列地","adv. 並肩地, 並列地","並んで,並行して"
abridge,ә'bridʒ,4,26746,"v. reduce in scope while retaining essential elements; v. lessen, diminish, or curtail","vt. 缩短, 删节, 减少, 剥夺; [法] 剥夺; 节略","vt. 縮短, 刪節, 減少, 剝奪; [法] 剝奪; 節略",〈本・話など〉を要約する;〈会合・授業など〉を短縮する / 〈権利・活動範囲など〉を制限する
abroad,ә'brɒ:d,1,3363,s. in a foreign country; r. to or in a foreign country,"adv. 往国外, 到室外, 到处; a. 往国外的, 在室外的, 广泛四散的","adv. 往國外, 到室外, 到處; a. 往國外的, 在室外的, 廣泛四散的","『海外へ(で)』,『外国に(で)』 / 《古》戸外へ / 『広く』;(うわさなどが)『広まって』"
abrogate,'æbrәgeit,5,21800,v. revoke formally,"vt. 废除, 取消; [经] 取消, 废除, 不生效(的法令)","vt. 廢除, 取消; [經] 取消, 廢除, 不生效(的法令)","〈法律・習慣など〉を廃止する,破棄する"
abrupt,ә'brʌpt,2,8703,s. marked by sudden changes in subject and sharp transitions; s. exceedingly sudden and unexpected; s. extremely steep; s. surprisingly and unceremoniously brusque in manner,"a. 突然的, 唐突的, 陡峭的, 不连贯的","a. 突然的, 唐突的, 陡峭的, 不連貫的","『突然の』,不意の(sudden) / (坂道などが)けわしい,急な(steep) / (態度などが)ぶっきらぼうな"
abruptly,ә'brʌptli,3,5243,r. quickly and without warning,"adv. 突然地, 唐突地","adv. 突然地, 唐突地","突然に,不意に"
abscess,'æbsis,4,19223,n. symptom consisting of a localized collection of pus surrounded by inflamed tissue,n. 脓肿; vi. 形成脓肿,n. 膿腫; vi. 形成膿腫,膿瘍(のうよう)(膿んだできもの)
abscond,әb'skɒnd,5,27687,v. run away; usually includes taking something or somebody along,"vi. 潜逃, 逃匿; [经] (为躲避罪责,债务等)潜逃","vi. 潛逃, 逃匿; [經] (為躲避罪責,債務等)潛逃","(…から)〈犯人などが〉ひそかに逃亡する,行くえをくらます《+『from』+『名』》"
absence,'æbsәns,2,2524,"n. the state of being absent; n. failure to be present; n. the time interval during which something or somebody is away; n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有; [医] 失神","n. 缺席, 缺乏, 沒有; [醫] 失神","〈U〉〈C〉留守,不在;『欠席』;不在期間;(…を)欠席すること《+『from』+『名』》 / 〈U〉(…が)『ないこと』,(…の)欠如(lacking)《+『of』+『名』》"
absent,'æbsәnt,1,5516,v. go away or leave; a. not being in a specified place; s. lost in thought; showing preoccupation,"a. 缺席的, 不在的, 缺乏的, 漫不经心的; vt. 使缺席","a. 缺席的, 不在的, 缺乏的, 漫不經心的; vt. 使缺席","不在の,欠席した,欠けている,心を失った(忘却の) / (～から)〈人〉を欠席させる(+名+from+名)"
absentee,.æbsәn'ti:,4,13021,n. one that is absent or not in residence,"n. 缺席者, 不在者; [经] 缺勤者, 缺席者, 未到工者","n. 缺席者, 不在者; [經] 缺勤者, 缺席者, 未到工者","欠席者,不在者 / 不在地主"
absently,'æbsәntli,4,14500,r. in an absentminded or preoccupied manner,adv. 心不在焉地,adv. 心不在焉地,放心して
absolute,'æbsәlu:t,2,3165,n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative; a. perfect or complete or pure; s. complete and without restriction or qualification; sometimes used informally as intensifiers; s. not limited by law,"a. 绝对的, 专制的, 完全的, 独立的; n. 绝对事物","a. 絕對的, 專制的, 完全的, 獨立的; n. 絕對事物","『まったくの』,完全な(complete) / 『絶対的な力を持った』,絶対の / 確かな,確固とした(certain) / 無条件の,制約のない / (文法で)独立の,単独の"
absolve,әb'zɒlv,4,17031,v. let off the hook,"vt. 宣告...无罪, 赦免, 免除; [经] 免偿(债务), 解除","vt. 宣告...無罪, 赦免, 免除; [經] 免償(債務), 解除",(特に宗教で)(…から)〈人〉を赦免する《+『名』〈人〉+『of』+『名』》 / (罰金・責任などから)〈人〉を免除する《+『名』〈人〉+『from』+『名』(do『ing』)》
absorb,әb'sɒ:b,2,3120,"v. become imbued; v. take up mentally; v. take up, as of debts or payments; v. take in, also metaphorically","vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担; [医] 吸收","vt. 吸收, 使全神貫注, 同化, 買進, 理解, 承受, 忍受, 承擔; [醫] 吸收","〈液体〉を『吸収する』,吸い込む / 〈光・音・熱・エネルギーなど〉を吸収する / 〈思想など〉を取り入れる / 〈国・町・村など〉を併合する;(…に)…を併合する《+『名』+『into』+『名』》 / 〈心・注意・時間〉を『すっかり奪う』"
abstain,әb'stein,4,13833,v. refrain from voting; v. choose not to consume,"vi. 自制, 戒绝, 弃权, 回避","vi. 自制, 戒絕, 棄權, 迴避","(…を)控える,慎む《+『from』+『名』(do『ing』)》 / 棄権する"
abstract,'æbstrækt,2,4007,v. consider a concept without thinking of a specific example; consider abstractly or theoretically; v. consider apart from a particular case or instance; v. give an abstract (of); a. existing only in the mind; separated from embodiment,"a. 抽象的, 深奥的; n. 摘要, 抽象概念; vt. 摘要, 提炼, 使抽象化; [计] 摘录; 摘要; 抽象","a. 抽象的, 深奧的; n. 摘要, 抽象概念; vt. 摘要, 提煉, 使抽象化; [計] 摘錄; 摘要; 抽象","『抽象的な』 / 理論的な,観念的な / (美術において)抽象派の / 〈U〉抽象 / 〈C〉抜粋,摘要(summary) / 〈C〉抽象美術作品 / (いくつかのものから)〈ある概念〉を抽象する,抽出する《+『名』+『from』+『名』》 / 〈本・スピーチなど〉を要約する(summarize),抜粋する / (…から)〈金属など〉を抽出する,分離する《+『名』+『from』+『名』》"
abstruse,æb'stru:s,4,29894,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,"a. 难解的, 深奥的","a. 難解的, 深奧的","(教義・論理など)難解な,深遠な"
