word,phonetic,tier,frequency,definition_en,definition_zh,definition_zh_tw,definition_ja
iniquity,i'nikwiti,5,26690,n. absence of moral or spiritual values,"n. 不公正, 不公正行为","n. 不公正, 不公正行為","〈U〉不正,不法,邪悪"
initial,i'niʃәl,2,1943,n. the first letter of a word (especially a person's name); v. mark with one's initials; s. occurring at the beginning,"n. 字首, 首字母; a. 开始的, 最初的, 字首的; vt. 用姓名的首字母签名","n. 字首, 首字母; a. 開始的, 最初的, 字首的; vt. 用姓名的首字母簽名","『最初の』;語頭にある / (語の)最初の文字 / 《複数形で》(姓名の)『かしら文字』,イニシアル / …にかしら文字で署名する(印をつける)"
initiate,i'niʃieit,3,3524,"n. someone who has been admitted to membership in a scholarly field; n. people who have been introduced to the mysteries of some field or activity; v. take the lead or initiative in; participate in the development of; v. accept people into an exclusive society or group, usually with some rite","n. 入会, 开始; a. 新加入的; vt. 开始, 传授基本知识给","n. 入會, 開始; a. 新加入的; vt. 開始, 傳授基本知識給","…を始める / 《しばしば受動態で》(特に式を行って)(…に)〈人〉を入会させる《+『名』〈人〉+『in』(『into』)+『名』》 / 〈人〉に(…の)初歩を教える,秘伝(秘訣)を教える《+『名』〈人〉+『in』(『into』)+『名』》 / 新入りの,手ほどきを受けた / 新入会者;手ほどきを受けた人"
inject,in'dʒekt,3,5597,v. give an injection to; v. to introduce (a new aspect or element); v. force or drive (a fluid or gas) into by piercing; v. take by injection,"vt. 注射, 注入, 使入轨; [医] 注射","vt. 注射, 注入, 使入軌; [醫] 注射","(…に)〈液体など〉を注射する,注入する《+『名』+『into』+『名』》;(…を)…に注射する《+『名』+『with』+『名』》 / (話などに)…を導入する,さしはさむ《+『名』+『into』+『名』》"
injure,'indʒә,2,3721,v. cause injuries or bodily harm to,"vt. 伤害, 损害, 使受冤屈; [医] 损伤","vt. 傷害, 損害, 使受冤屈; [醫] 損傷","…を『傷つける』,に損害を与える / 〈感情・名声など〉を『傷つける』,害する"
injured,'indʒәd,3,5517,a. harmed,"a. 受伤的, 受损害的, 被触怒的; [法] 受害的, 被害的","a. 受傷的, 受損害的, 被觸怒的; [法] 受害的, 被害的",(身体が)傷つけられた / (感情・名声などが)傷つけられた
injury,'indʒәri,2,1553,n. any physical damage to the body caused by violence or accident or fracture etc.; n. an accident that results in physical damage or hurt; n. an act that causes someone or something to receive physical damage; n. wrongdoing that violates another's rights and is unjustly inflicted,"n. 伤害, 侮辱; [医] 伤, 损伤","n. 傷害, 侮辱; [醫] 傷, 損傷","『負傷』,『損害』,損傷 / (名誉などを)傷つけること,侮辱《+『to』+『名』》"
ink,iŋk,1,5193,"n. a liquid used for printing or writing or drawing; n. dark protective fluid ejected into the water by cuttlefish and other cephalopods; v. append one's signature to; v. mark, coat, cover, or stain with ink","n. 墨水, 墨汁; vt. 涂墨水于, 签署, 加墨水","n. 墨水, 墨汁; vt. 塗墨水於, 簽署, 加墨水","(筆記用・印刷用)の『インク』 / (イカなどの出す)墨 / …をインクで書く(塗る,しるす,汚す)"
inkling,'iŋkliŋ,4,15544,n. a slight suggestion or vague understanding,"n. 暗示, 微微觉得","n. 暗示, 微微覺得","うすうす感づくこと / ほのめかし,暗示"
inlaid,'inleid,4,17423,s. adorned by inlays,"a. 嵌入的, 镶嵌的, 镶饰的; inlay的过去式和过去分词","a. 嵌入的, 鑲嵌的, 鑲飾的; inlay的過去式和過去分詞","inlayの過去・過去分詞 / はめ込んだ,ちりばめた;象眼模様で装飾した"
inland,'inlәnd,2,11233,a. situated away from an area's coast or border; r. towards or into the interior of a region,"a. 内陆的, 国内的; n. 内地","a. 內陸的, 國內的; n. 內地","『内陸の』,奥地の / 《おもに英》『国内の』,内地の / 内陸(奥地)へ(に) / 内陸,奥地,国内"
inlet,'inlet,3,13676,n. an arm off of a larger body of water (often between rocky headlands),"n. 进口, 插入物; [化] 入口; 进口; 投料口; 供料口","n. 進口, 插入物; [化] 入口; 進口; 投料口; 供料口",入り江 / (水などの)入り口
inmate,'inmeit,2,4097,n. one of several resident of a dwelling (especially someone confined to a prison or hospital),"n. 同住者, 被收容者; [法] 内部的, 接近中心的, 内在的","n. 同住者, 被收容者; [法] 內部的, 接近中心的, 內在的","(病院・養老院・刑務所などの)入院者,収容者,受刑者"
inn,in,2,6591,n a hotel providing overnight lodging for travelers,"n. 旅馆, 客栈; vi. 住旅馆","n. 旅館, 客棧; vi. 住旅館","『宿屋』,小さな旅館"
innards,'inәdz,4,19516,n internal organs collectively (especially those in the abdominal cavity),n. 内脏,n. 內臟,"内臓 / (物の)内部,中身"
innate,i'neit,3,10178,a not established by conditioning or learning; s being talented through inherited qualities; s present at birth but not necessarily hereditary; acquired during fetal development,"a. 先天的, 天生的; [医] 先天的, 生来的","a. 先天的, 天生的; [醫] 先天的, 生來的","生まれつきの,生得の(inborn) / 本質的な"
inner,'inә,3,2449,s. located inward; a. located or occurring within or closer to a center; s. innermost or essential; s. exclusive to a center; especially a center of influence,"a. 内部的, 内心的; n. 内部","a. 內部的, 內心的; n. 內部","『内側の』,『内部の』,奥の / 『精神の』,心の / 親密な;内密の"
inning,'iniŋ,3,7703,n. (baseball) one of nine divisions of play during which each team has a turn at bat,"n. 一局, 挨次轮换, 执政期, 围垦","n. 一局, 挨次輪換, 執政期, 圍墾","(野球・クリケットの)回,イニング"
innings,,3,7174,n. the batting turn of a cricket player or team,"n. 局, 回合, 盘, 一局, 当权期间","n. 局, 回合, 盤, 一局, 當權期間",
innocent,'inәsәnt,2,2775,n. a person who lacks knowledge of evil; a. free from evil or guilt; s. lacking intent or capacity to injure; s. lacking in sophistication or worldliness,"a. 无罪的, 不懂事的, 无知的; n. 天真的人, 笨蛋","a. 無罪的, 不懂事的, 無知的; n. 天真的人, 笨蛋","(人が)『無罪の』,潔白な / (心の)純潔な,無邪気な,天真らんまんな / (物事が)悪意のない,額のない / 単純な,おめでたい / 《補語にのみ用いて》《話》(…を)欠いている,(…が)全然ない《+『of』+『名』》 / 無邪気な人,(特に)あどけない子供 / お人よし,単純な人"
innovate,'inәuveit,4,18968,v bring something new to an environment,"vi. 改革, 创新","vi. 改革, 創新","〈新しいもの〉を取り入れる / (…を)革新する,刷新する《+『in』(『on』)+『名』》"
innuendo,.inju:'endәu,4,14703,n an indirect (and usually malicious) implication,"n. 讽刺, 暗讽; vi. 说讽刺话; vt. 暗示","n. 諷刺, 暗諷; vi. 說諷刺話; vt. 暗示","(悪意のある)暗示,風刺,当てこすり"
input,'input,3,4120,n. a component of production; something that goes into the production of output; v. enter (data or a program) into a computer,"n. 输入, 输入电路; vt. 输入; [计] 输入","n. 輸入, 輸入電路; vt. 輸入; [計] 輸入","投入,投入量 / (機械・電気)などの入力 / インプット(電子計算機の入力)"
inquire,in'kwaiә,3,6687,v inquire about; v have a wish or desire to know something; v conduct an inquiry or investigation of,"v. 询问, 问明, 查究","v. 詢問, 問明, 查究","…を『尋ねる』,問う / 尋ねる,問い合わせる"
inquiry,in'kwaiәri,3,3367,n. a search for knowledge; n. a systematic investigation of a matter of public interest,"n. 质询, 探索, 调查, 询盘; [计] 询问; 查询","n. 質詢, 探索, 調查, 詢盤; [計] 詢問; 查詢","(…についての)『質問』,問い合わせ《+『about』+『名』》 / (…の)『調査』,研究《+『into』(『about, on』)+『名』》"
inroad,'inrәud,5,0,n. an encroachment or intrusion; n. an invasion or hostile attack,"n. 侵入, 得手, 侵害; [法] 袭击, 侵犯, 损害","n. 侵入, 得手, 侵害; [法] 襲擊, 侵犯, 損害","(…への)突然の攻撃,侵略,侵害,食い込み《+『on』(『upon, into』)+『名』》"
inroads,'ɪnrəʊdz,4,14326,n an encroachment or intrusion; n an invasion or hostile attack,"n. 侵犯, 侵入; 侵害; 成功进入新领域; 进展( inroad的名词复数)","n. 侵犯, 侵入; 侵害; 成功進入新領域; 進展( inroad的名詞複數)",
insane,in'sein,3,6471,a. afflicted with or characteristic of mental derangement,"a. 患精神病的, 极愚蠢的; [医] 神经错乱的","a. 患精神病的, 極愚蠢的; [醫] 神經錯亂的","狂気の,正気でない / 精神異常者のための / 気違いじみた,非常識な,とっぴな"
insanity,in'sæniti,3,9821,n. relatively permanent disorder of the mind,"n. 疯狂, 愚顽, 精神错乱; [医] 精神病","n. 瘋狂, 愚頑, 精神錯亂; [醫] 精神病","〈U〉狂気,精神錯乱"
inscribe,in'skraib,5,9201,"v. draw within a figure so as to touch in as many places as possible; v. write, engrave, or print as a lasting record; v. address, (a work of literature) in a style less formal than a dedication","vt. 登记, 铭记于, 题写, 雕刻; [电] 书写","vt. 登記, 銘記於, 題寫, 雕刻; [電] 書寫","(物・心などに)〈言葉・文字など〉を記す,彫る,刻む,書く《+『名+on(in)+名』》 / (言葉・文字などを)〈物・心など〉に記す,彫る,刻む,書く《+『名+with+名』〈言葉・文字など〉》 / (人に)〈著作・写真など〉を署名して贈る(献呈する)《+『名+to(for)+名〈人〉』》"
insect,'insekt,2,3405,n. small air-breathing arthropod,"n. 昆虫, 卑鄙的人; [医] 昆虫","n. 昆蟲, 卑鄙的人; [醫] 昆蟲",『昆虫』;(一般に)虫
insects,,4,0,n small air-breathing arthropod; n a person who has a nasty or unethical character undeserving of respect,"n. 昆虫；昆虫类, 昆虫纲（insect的复数形式）","n. 昆蟲；昆蟲類, 昆蟲綱（insect的複數形式）",
insecure,.insi'kjuә,4,10533,a. not firm or firmly fixed; likely to fail or give way; a. lacking in security or safety; a. lacking self-confidence or assurance; s. not safe from attack,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的","a. 不安全的, 不牢靠的, 不堅固的, 不穩定的","(物が)崩れやすい,ぐらぐらする / 保証されていない,不安定な / (人が)自信のない,心配な;(…に)自信のない《+『about(of)+名』》"
insert,in'sә:t,2,4301,n. a folded section placed between the leaves of another publication; n. an artifact that is inserted or is to be inserted; v. put or introduce into something; v. introduce,"n. 插入物; vt. 插入, 把(人造卫星)射入(轨道), 添写; vi. 附着; [计] 插入","n. 插入物; vt. 插入, 把(人造衛星)射入(軌道), 添寫; vi. 附著; [計] 插入","(…に)…を『差し込む』,挿入する《+『名』+『in』(『into, between』)+『名』》 / 挿入物;(別刷りの)差し込みページ;(新聞などの)折り込みビラ"
inset,'inset,4,15912,n. a small picture inserted within the bounds or a larger one; v. set or place in,"vt. 嵌入; n. 插入物, 插页, 插图","vt. 嵌入; n. 插入物, 插頁, 插圖","(…に)…を挿入する《+『名』+『in』(『into』)+『名』》;(…を)…に差し込む《+『名』+ 『with』+『名』》 / (新聞・書物の)差し込みページ;(大きな図表・地図などの中にはめ込まれた)差し込み図(地図,絵)"
inshore,'in'ʃɒ:,4,19979,a. (of winds) coming from the sea toward the land; s. close to a shore; r. toward the shore,"a. 近海岸的, 向陆的; adv. 近海岸, 向陆地","a. 近海岸的, 向陸的; adv. 近海岸, 向陸地","海岸に近い,近海の;海岸に向かう / 海岸に向かって"
inside,'in'said,1,964,n. the region that is inside of something; n. the inner or enclosed surface of something; a. relating to or being on the side closer to the center or within a defined space; s. being or applying to the inside of a building,"n. 内部, 内脏, 内幕; a. 内部的, 秘密的, 户内的; adv. 在里面; prep. 在...之内","n. 內部, 內臟, 內幕; a. 內部的, 秘密的, 戶內的; adv. 在裡面; prep. 在...之內","《the~》(物事の)『内部,内側』;内面 / 《しばしば複数形で》《話》おなか,腹 / 『内部の』,内側の;内面の;秘密の;(野球で)内角の / 『中へ』(で),屋内で(に)(indoors) / 『…の中で』(に,へ) / …以内に"
insider,'in'saidә,5,5334,n. an officer of a corporation or others who have access to private information about the corporation's operations,"n. 内部的人, 权威人士, 知道内情的人; [经] 熟悉内情者","n. 內部的人, 權威人士, 知道內情的人; [經] 熟悉內情者","内部の人,会員,部員 / 《話》内幕を知っている人,消息通"
insight,'insait,3,2840,n. a feeling of understanding; n. the clear (and often sudden) understanding of a complex situation; n. grasping the inner nature of things intuitively,"n. 察看, 洞察力, 见识; [医] 自知力, 洞察, 顿悟","n. 察看, 洞察力, 見識; [醫] 自知力, 洞察, 頓悟","『洞察[力]』,眼識;(…を)見通す力《+『into』+『名』》"
insignia,in'signiә,5,15592,n. a badge worn to show official position,"n. 勋章, 徽章; [法] 勋章, 徽章, 荣誉","n. 勳章, 徽章; [法] 勳章, 徽章, 榮譽","(官職・階級などを示す)記章,バッジ,勲章"
insipid,in'sipid,4,24841,s. lacking interest or significance or impact,"a. 乏味的, 清淡的, 难吃的; [医] 无味的","a. 乏味的, 清淡的, 難吃的; [醫] 無味的","(飲食物が)味のない,まずい / (人・話などが)味気ない,無味乾燥な"
insist,in'sist,1,1359,v. be emphatic or resolute and refuse to budge; v. assert to be true,"v. 坚持, 坚决主张, 强调","v. 堅持, 堅決主張, 強調",…と『強く要求する』 / …と『主張する』 / 強く要求する《+『on』(『upon』)+『名』(a person['s]do『ing』)》 / (…を)『主張する』《+『on』(『upon』)+『名』》
insofar,.insәu'fɑ:,3,9878,r. to the degree or extent that,adv. 在...的范围,adv. 在...的範圍,
insolate,'insәleit,5,0,v expose to the rays of the sun or affect by exposure to the sun,vt. 使曝晒,vt. 使曝曬,
insolent,'insәlәnt,4,24483,s marked by casual disrespect; s unrestrained by convention or propriety,"n. 侮慢无礼的人; a. 粗野的, 无礼的, 侮慢的","n. 侮慢無禮的人; a. 粗野的, 無禮的, 侮慢的","横柄な,ごう慢,無礼な;(…に対して)横柄な《+『to』+『名』》"
insomnia,in'sɒmniә,4,12706,n. an inability to sleep; chronic sleeplessness,n. 失眠症; [医] 失眠[症],n. 失眠症; [醫] 失眠[症],不眠[症]
inspect,in'spekt,2,5031,v. look over carefully,"vt. 检查, 检阅, 检验; vi. 检查","vt. 檢查, 檢閱, 檢驗; vi. 檢查","…を『検査する』,念入りに調べる / (公式に)…を視察する"
inspire,in'spaiә,2,2299,v. heighten or intensify; v. supply the inspiration for,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感; vi. 吸入, 赋予灵感","vt. 使感動, 激發, 啟示, 吸入, 鼓舞, 產生, 使生靈感; vi. 吸入, 賦予靈感",〈人〉を『鼓舞する』 / 〈作品など〉を霊感を与えて生み出させる / (人に)〈考え・感情〉を『呼び起こす』《+『名』+『in』+『名』〈人〉》 / (考え・表情を)〈人〉に『呼び起こす』《+『名』+『with』+『名』》 / 空気を吸う(吸い込む)
inspired,in'spaiәd,5,8847,v heighten or intensify; v supply the inspiration for; v serve as the inciting cause of; v spur on or encourage especially by cheers and shouts; v fill with revolutionary ideas; v draw in (air); s being of such surpassing excellence as to suggest inspiration by the gods,"a. 得到灵感的, 有灵感的, 官方授意的","a. 得到靈感的, 有靈感的, 官方授意的",霊感を受けた
install,in'stɒ:l,3,2505,v. set up for use; v. put into an office or a position; v. place,"vt. 安装, 安置, 使就职; [计] 安装, 安装程序; DOS内部命令:安装常驻程序","vt. 安裝, 安置, 使就職; [計] 安裝, 安裝程式; DOS內部命令:安裝常駐程式","〈装置など〉を『取り付ける』,設備する / 〈人〉を『就任させる』,の就任式を行う / 《場所を表す副詞[句]を伴って》…を落ち着かせる,席につける"
instance,'instәns,3,2957,n an occurrence of something; n an item of information that is typical of a class or group; v clarify by giving an example of,"n. 建议, 情况, 例子, 场合; vt. 引以为例, 举例说明","n. 建議, 情況, 例子, 場合; vt. 引以為例, 舉例說明","『例』,実例 / 場合 / …を例に引く"
instant,'instәnt,2,4453,s. in or of the present month,"n. 立即, 瞬间; a. 紧急的, 立即的, 即时的","n. 立即, 瞬間; a. 緊急的, 立即的, 即時的","『一瞬の間』,瞬間(moment) / 《the,this,thatなどを伴って》(…の)ちょうどその瞬間,まさに(…の)時 / 『即時の』,すぐの,即刻の / 《名詞の前にのみ用いて》『急の』,緊急の(urgent) / 『即席の』,インスタント[料理]の / 《古》今月の"
instate,in'steit,5,45894,"v. t. To set, place, or establish, as in a rank, office, or;    condition; to install; to invest; as, to instate a person in greatness;    or in favor.","vt. 任命; [法] 授予人职位, 任命, 安置","vt. 任命; [法] 授予人職位, 任命, 安置","(地位などに)〈人〉をつける,任命する"
instead,in'sted,1,994,"r in place of, or as an alternative to; r on the contrary; rather (or instead), he wrote her a letter""","adv. 作为替代, 反而","adv. 作為替代, 反而","『その代りとして』,それよりも"
instil,in'stil,4,13187,v enter drop by drop,"vt. 滴注, 逐渐灌输, 不断灌输; [医] 滴注","vt. 滴注, 逐漸灌輸, 不斷灌輸; [醫] 滴注","(人・心に)〈思想・感情など〉をしみ込ませる,教え込む《+『名』+『into』(『in』)+『名』》 / 〈液体〉を1滴ずつたらす"
instill,in'stil,4,12013,v. impart gradually; v. enter drop by drop,"vt. 滴注, 慢慢地灌输","vt. 滴注, 慢慢地灌輸","(人・心に)〈思想・感情など〉をしみ込ませる,教え込む《+『名』+『into』(『in』)+『名』》 / 〈液体〉を1滴ずつたらす"
instinct,'instiŋkt,3,4239,n. inborn pattern of behavior often responsive to specific stimuli; s. (followed by `with')deeply filled or permeated,"n. 本能, 直觉; a. 充满着的","n. 本能, 直覺; a. 充滿著的","『本能』 / 〈C〉(…に対する)(生まれつきの)才能,素質,天分《+『for』+『名』(do『ing』)》 / (…に)満ちた《+『with』+『名』》"
instruct,in'strʌkt,2,4243,v. give instructions or directions for some task; v. make aware of,"vt. 教, 教育, 命令, 通知; [法] 托办, 指导, 指示","vt. 教, 教育, 命令, 通知; [法] 託辦, 指導, 指示","…に知識(情報,技術など)を与える,教える,知らせる / 〈人〉に『指示する』,命令する"
insular,'insjulә,4,17801,"a. relating to or characteristic of or situated on an island; s. suggestive of the isolated life of an island; so deeply private as to seem inaccessible to the scrutiny of a novelist""- Leonard Michaels; s. narrowly restricted in outlook or scope","a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的; [医] 岛的, 胰岛的, 脑岛的","a. 島的, 島民的, 與世隔絕的, 孤立的, 保守的; [醫] 島的, 胰島的, 腦島的","島の,島に住む,島にある,島から成る / (島のように)孤立した"
insulate,'insjuleit,3,10264,"v. protect from heat, cold, or noise by surrounding with insulating material","vt. 使绝缘, 隔离; [医] 绝缘","vt. 使絕緣, 隔離; [醫] 絕緣","〈電線など〉を絶縁する / …を分離する,隔離する"
insulin,'insjulin,4,9128,n. hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells,n. 胰岛素; [化] 胰岛素,n. 胰島素; [化] 胰島素,インシュリン(膵臓(すいぞう)ホルモンで糖尿病治療剤)
insult,'insʌlt,3,6568,n. a deliberately offensive act or something producing the effect of deliberate disrespect,"n. 侮辱, 无礼, 损害; vt. 损害, 侮辱, 攻击","n. 侮辱, 無禮, 損害; vt. 損害, 侮辱, 攻擊","〈人・物など〉を『侮辱する』,はずかしめる / (…に対する)『侮辱』,侮辱的な言動《+『to』+『名』》"
insure,in'ʃuә,2,6180,v. take out insurance for,"vt. 保险, 确保; vi. 投保","vt. 保險, 確保; vi. 投保","…を『保証する』,請け合う / 〈人・財産など〉に『保険をかける』,を損害保証する"
insurer,in'ʃuәrә,3,6062,n a financial institution that sells insurance,"n. 保险公司; [法] 保险人, 承保人, 保险公司","n. 保險公司; [法] 保險人, 承保人, 保險公司","保険業者,保険会社;保証人"
intact,in'tækt,3,4626,s. (of a woman) having the hymen unbroken; s. undamaged in any way,"a. 尚未被人碰过的, 原封不动的, 完整的; [医] 完整的, 无伤的","a. 尚未被人碰過的, 原封不動的, 完整的; [醫] 完整的, 無傷的","手をつけない,損なわれない"
intake,'inteik,3,6025,n. an opening through which fluid is admitted to a tube or container,"n. 入口, 吸入, 吸入量; [医] 摄取量","n. 入口, 吸入, 吸入量; [醫] 攝取量","〈C〉(導管などの水・空気などの)取り入れ口 / 〈C〉取り入れ,吸い込み / 〈U〉摂取量;取り入れたもの"
integral,'intigrәl,3,5882,n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x); s. constituting the undiminished entirety; lacking nothing essential especially not damaged; a. of or denoted by an integer,"n. 整体, 积分, 整数; a. 固有的, 整体的, 整数的, 积分的; [计] 积分","n. 整體, 積分, 整數; a. 固有的, 整體的, 整數的, 積分的; [計] 積分","全体の一部分として欠くことのできない,完全なものになるに必要な / 完全無欠な / (数学で)整数の"
intend,in'tend,2,1536,v. have in mind as a purpose; v. design or destine,"vt. 计划, 打算, 意思是; [法] 想要, 打算, 意旨","vt. 計劃, 打算, 意思是; [法] 想要, 打算, 意旨","…を『意図する』,のつもりである / (特定の目標に)…を向ける,あてる《+『名』+『for』(『as』)+『名』》 / (…で)…を表そうとする《+『by』+『名』》"
intended,in'tendid,3,8993,a. resulting from one's intentions; s. future; betrothed,"a. 有意的, 故意的; n. 未婚夫(妻)","a. 有意的, 故意的; n. 未婚夫(妻)","意図した,目指した,故意の(intentional) / 未来の,いいなずけの / いいなずけ"
intense,in'tens,3,2295,a. possessing or displaying a distinctive feature to a heightened degree; s. (of color) having the highest saturation,"a. 非常的, 强烈的, 紧张的, 热情的; [医] 强的","a. 非常的, 強烈的, 緊張的, 熱情的; [醫] 強的","(感情・性質などが)『激しい』,強烈な,熱心な"
intent,in'tent,3,3961,n. the intended meaning of a communication,"n. 意图, 含义, 故意; a. 专心的, 决心的, 热心的","n. 意圖, 含義, 故意; a. 專心的, 決心的, 熱心的","(特に法律用語で)『意図』,目的 / (目・心など)『一心に向けた』,熱心な"
intently,in'tentli,3,8948,r. with strained or eager attention,"adv. 一心一意地, 心无旁物地, 专心地","adv. 一心一意地, 心無旁物地, 專心地","熱心に,専心して"
inter,in'tә:,5,19198,v place in a grave or tomb,vt. 埋葬; prep. 在中间,vt. 埋葬; prep. 在中間,〈死体〉を埋葬する
interact,.intәr'ækt,3,4341,v. act together or towards others or with others,"vi. 互相影响, 交互作用; n. 幕间剧, 幕间休息","vi. 互相影響, 互動作用; n. 幕間劇, 幕間休息","(…と)相互に作用する,影響し合う《+『with』+『名』》"
intercom,'intәkɔm,4,13367,n a communication system linking different rooms within a building or ship etc,"n. 内部通信联络系统, 内部通话系统; [计] 内部通信","n. 內部通訊聯絡系統, 內部通話系統; [計] 內部通訊","(同じ機内,船内,建物内または一定区域間の)相互通話装置,インターホン"
intercut,",intә(:)'kʌt",4,18946,,vt.使镜头交切; vi.作镜头交切,vt.使鏡頭交切; vi.作鏡頭交切,
interest,'intrist,1,416,n. a sense of concern with and curiosity about someone or something; n. the power of attracting or holding one's attention (because it is unusual or exciting etc.); n. a fixed charge for borrowing money; usually a percentage of the amount borrowed; n. (law) a right or legal share of something; a financial involvement with something,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力; vt. 使感兴趣, 与...有关系","n. 興趣, 嗜好, 利息, 利益, 愛好, 趣味, 勢力; vt. 使感興趣, 與...有關係","(人・物事に対する)『興味』,『関心』《+『in』+『名』(do『ing』)》 / 〈C〉『関心事』,興味のまと / 〈U〉興味をそそる(関心を引く)力 / 〈C〉《しばしば複数形で》『利益』,ため / (利益などにあずかる)権利;所有権,利権 / 〈U〉(借金などの)『利子』 / 《しばしば複数形で》《集合的に》同業者たち,関係者たち / (…に)〈人〉に『興味を持たせる』,関心を起こさらる《+『名』+『in』+『名』(do『ing』)》 / (…に)〈人〉を関係させる,に関心を持たせる《+『名』〈人〉+『in』+『名』(do『ing』)》"
interim,'intәrim,3,6845,"n. the time between one event, process, or period and another; s. serving during an intermediate interval of time","a. 暂时的, 临时的, 间歇的; n. 过渡时期","a. 暫時的, 臨時的, 間歇的; n. 過渡時期","(二つのでき事・時期などの)中間,合い間 / 中間の,間の"
interior,in'tiәriә,3,3476,a. situated within or suitable for inside a building; s. inside and toward a center; s. of or coming from the middle of a region or country,"n. 内部, 内政; a. 内部的, 心灵的, 内地的, 内政的","n. 內部, 內政; a. 內部的, 心靈的, 內地的, 內政的","〈U〉(物の)『内部』,内側 / 〈C〉(海岸や国境から遠い)『浅地』,内陸部 / 〈U〉《the~》 / 『内部の』 / 『奥地の』,内陸部の"
intern,in'tә:n,3,8079,n. an advanced student or graduate in medicine gaining supervised practical experience (`houseman' is a British term); v. deprive of freedom; v. work as an intern,"n. 实习生, 被拘留者; vi. 作实习医师(教师、实习生); vt. 拘留, 扣留","n. 實習生, 被拘留者; vi. 作實習醫師(教師、實習生); vt. 拘留, 扣留","〈C〉インターン(企業などで短期間で勤務する社員)/ 〈C〉実習生 / 研修生 / {動}(戦時などに)(人を)拘束する,抑留する"
internal,in'tә:nәl,3,1728,a. happening or arising or located within some limits or especially surface; s. occurring within an institution or community,"a. 内在的, 国内的; [医] 内的, 内部的","a. 內在的, 國內的; [醫] 內的, 內部的","『内側の』,内部にある / 『国内の』(domestic) / 内からとる,内用の"
internet,'intәnet,1,1467,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网","[計] 因特網, 國際互連網, 網際網路, 互連網路, 廣域網",
interval,'intәvәl,2,4646,n. a set containing all points (or all real numbers) between two given endpoints; n. the distance between things; n. the difference in pitch between two notes,"n. 间隔, 距离, 间歇, 间隙; [计] 时间间隔","n. 間隔, 距離, 間歇, 間隙; [計] 時間間隔","(事と事の)間の時間,『合い間』;(物と物の)間の空間,間隔 / 《英》=intermission / 音程"
intifada,'ɪntɪfeɪdə,4,16681,n. an uprising by Palestinian Arabs (in both the Gaza Strip and the West Bank) against Israel in the late 1980s and again in 2000,n. (1987年底爆发的)以色列占领区的巴勒斯坦人暴动,n. (1987年底爆發的)以色列佔領區的巴勒斯坦人暴動,
intimacy,'intimәsi,4,5670,n close or warm friendship; n a usually secretive or illicit sexual relationship; n a feeling of being intimate and belonging together,"n. 亲密, 熟悉, 亲昵行为(言语); [法] 亲近的行为, 亲密, 隐私","n. 親密, 熟悉, 親暱行為(言語); [法] 親近的行為, 親密, 隱私",(…との)親密さ《+『with』+『名』》 / (…との)親交《+『with』+『名』》
intimate,'intimәt,3,4217,"v. give to understand; s. marked by close acquaintance, association, or familiarity; s. involved in a sexual relationship; s. thoroughly acquainted through study or experience","a. 亲密的, 私人的, 秘密的; vt. 暗示, 通知, 告诉; n. 至交","a. 親密的, 私人的, 秘密的; vt. 暗示, 通知, 告訴; n. 至交","『たいへん親しい』,親密な / 個人的な(private) / (理解・知識などについて)身近によく知っている,くわしい / 親友,心の許せる友 / …をほのめかす,それとなく知らせる"
into,'intu:,1,65,"prep. To the inside of; within. It is used in a variety of;    applications.; prep. Expressing entrance, or a passing from the outside of a;    thing to its interior parts; -- following verbs expressing motion; as,;    come into the house; go into the church; one stream falls or runs into;    another; water enters into the fine vessels of plants.; prep. Expressing penetration beyond the outside or surface, or;    access to the inside, or contents; as, to look into a letter or book;;    to look into an apartment.; prep. Indicating insertion; as, to infuse more spirit or;    animation into a composition.; prep. Denoting inclusion; as, put these ideas into other words.; prep. Indicating the passing of a thing from one form,;    condition, or state to another; as, compound substances may be resolved;    into others which are more simple; ice is convertible into water, and;    water into vapor; men are more easily drawn than forced into;    compliance; we may reduce many distinct substances into one mass; men;    are led by evidence into belief of truth, and are often enticed into;    the commission of crimes'into; she burst into tears; children are;    sometimes frightened into fits; all persons are liable to be seduced;    into error and folly.","prep. 进入...之内, 朝..., 深入...之中, 成为...状况","prep. 進入...之內, 朝..., 深入...之中, 成為...狀況","《運動,動作の方向》…『の中へ(に)』 / …に突きあたって / …に加えて,の一員に / 《状態の変化・結果》…『に』,…『へ』 / 《時間の推移》…まで / 《割算に用いて》…を割って"
intone,in'tәun,4,14714,"v utter monotonously and repetitively and rhythmically; v recite with musical intonation; recite as a chant or a psalm; v speak carefully, as with rising and falling pitch or in a particular tone",v. 吟咏,v. 吟詠,"〈祈りなど〉を詠唱する,朗唱する / 詠唱する,朗唱する"
